T_K,gamma_t_from_o_per_s,gamma_o_from_t_per_s,p_oct,p_tet,d_m2_s
200.0,6.6492e+07,2.4494e+10,0.994600,0.005400,5.0037e-12
205.0,8.8724e+07,2.9003e+10,0.993919,0.006081,6.6721e-12
210.0,1.1677e+08,3.4067e+10,0.993191,0.006809,8.7750e-12
215.0,1.5174e+08,3.9717e+10,0.992417,0.007583,1.1394e-11
220.0,1.9484e+08,4.5981e+10,0.991596,0.008404,1.4618e-11
225.0,2.4743e+08,5.2889e+10,0.990730,0.009270,1.8547e-11
230.0,3.1095e+08,6.0465e+10,0.989819,0.010181,2.3287e-11
235.0,3.8701e+08,6.8733e+10,0.988864,0.011136,2.8955e-11
240.0,4.7729e+08,7.7716e+10,0.987866,0.012134,3.5674e-11
245.0,5.8362e+08,8.7434e+10,0.986826,0.013174,4.3575e-11
250.0,7.0792e+08,9.7904e+10,0.985745,0.014255,5.2798e-11
255.0,8.5222e+08,1.0914e+11,0.984624,0.015376,6.3488e-11
260.0,1.0186e+09,1.2116e+11,0.983464,0.016536,7.5796e-11
265.0,1.2094e+09,1.3398e+11,0.982267,0.017733,8.9880e-11
270.0,1.4267e+09,1.4760e+11,0.981034,0.018966,1.0590e-10
275.0,1.6731e+09,1.6204e+11,0.979767,0.020233,1.2403e-10
280.0,1.9508e+09,1.7729e+11,0.978467,0.021533,1.4442e-10
285.0,2.2625e+09,1.9337e+11,0.977135,0.022865,1.6727e-10
290.0,2.6105e+09,2.1028e+11,0.975773,0.024227,1.9273e-10
295.0,2.9975e+09,2.2802e+11,0.974381,0.025619,2.2098e-10
300.0,3.4261e+09,2.4658e+11,0.972963,0.027037,2.5221e-10
305.0,3.8988e+09,2.6598e+11,0.971518,0.028482,2.8658e-10
310.0,4.4182e+09,2.8620e+11,0.970049,0.029951,3.2427e-10
315.0,4.9871e+09,3.0724e+11,0.968557,0.031443,3.6546e-10
320.0,5.6079e+09,3.2910e+11,0.967043,0.032957,4.1031e-10
325.0,6.2832e+09,3.5177e+11,0.965508,0.034492,4.5900e-10
330.0,7.0157e+09,3.7524e+11,0.963954,0.036046,5.1168e-10
335.0,7.8079e+09,3.9950e+11,0.962383,0.037617,5.6852e-10
340.0,8.6621e+09,4.2456e+11,0.960794,0.039206,6.2969e-10
345.0,9.5810e+09,4.5039e+11,0.959191,0.040809,6.9532e-10
350.0,1.0567e+10,4.7698e+11,0.957573,0.042427,7.6557e-10
355.0,1.1622e+10,5.0433e+11,0.955942,0.044058,8.4059e-10
360.0,1.2749e+10,5.3243e+11,0.954299,0.045701,9.2050e-10
365.0,1.3949e+10,5.6125e+11,0.952646,0.047354,1.0054e-09
370.0,1.5226e+10,5.9079e+11,0.950982,0.049018,1.0955e-09
375.0,1.6581e+10,6.2104e+11,0.949310,0.050690,1.1909e-09
380.0,1.8016e+10,6.5198e+11,0.947630,0.052370,1.2917e-09
385.0,1.9532e+10,6.8360e+11,0.945943,0.054057,1.3979e-09
390.0,2.1133e+10,7.1588e+11,0.944251,0.055749,1.5098e-09
395.0,2.2819e+10,7.4880e+11,0.942553,0.057447,1.6273e-09
400.0,2.4593e+10,7.8237e+11,0.940851,0.059149,1.7506e-09
405.0,2.6455e+10,8.1655e+11,0.939146,0.060854,1.8798e-09
410.0,2.8408e+10,8.5134e+11,0.937438,0.062562,2.0149e-09
415.0,3.0453e+10,8.8672e+11,0.935728,0.064272,2.1560e-09
420.0,3.2591e+10,9.2267e+11,0.934017,0.065983,2.3031e-09
425.0,3.4823e+10,9.5918e+11,0.932305,0.067695,2.4564e-09
430.0,3.7151e+10,9.9624e+11,0.930594,0.069406,2.6158e-09
435.0,3.9576e+10,1.0338e+12,0.928883,0.071117,2.7814e-09
440.0,4.2098e+10,1.0719e+12,0.927174,0.072826,2.9532e-09
445.0,4.4719e+10,1.1105e+12,0.925467,0.074533,3.1313e-09
450.0,4.7440e+10,1.1496e+12,0.923762,0.076238,3.3157e-09
455.0,5.0261e+10,1.1892e+12,0.922060,0.077940,3.5064e-09
460.0,5.3182e+10,1.2292e+12,0.920361,0.079639,3.7034e-09
465.0,5.6206e+10,1.2697e+12,0.918666,0.081334,3.9067e-09
470.0,5.9331e+10,1.3106e+12,0.916976,0.083024,4.1163e-09
475.0,6.2559e+10,1.3519e+12,0.915290,0.084710,4.3323e-09
480.0,6.5889e+10,1.3936e+12,0.913609,0.086391,4.5545e-09
485.0,6.9323e+10,1.4357e+12,0.911934,0.088066,4.7831e-09
490.0,7.2860e+10,1.4782e+12,0.910264,0.089736,5.0179e-09
495.0,7.6500e+10,1.5210e+12,0.908601,0.091399,5.2590e-09
500.0,8.0244e+10,1.5642e+12,0.906944,0.093056,5.5064e-09
505.0,8.4092e+10,1.6077e+12,0.905294,0.094706,5.7599e-09
510.0,8.8043e+10,1.6515e+12,0.903650,0.096350,6.0196e-09
515.0,9.2098e+10,1.6956e+12,0.902014,0.097986,6.2854e-09
520.0,9.6257e+10,1.7401e+12,0.900386,0.099614,6.5574e-09
525.0,1.0052e+11,1.7848e+12,0.898765,0.101235,6.8353e-09
530.0,1.0488e+11,1.8298e+12,0.897152,0.102848,7.1193e-09
535.0,1.0935e+11,1.8750e+12,0.895547,0.104453,7.4092e-09
540.0,1.1392e+11,1.9206e+12,0.893950,0.106050,7.7051e-09
545.0,1.1859e+11,1.9663e+12,0.892362,0.107638,8.0067e-09
550.0,1.2336e+11,2.0123e+12,0.890782,0.109218,8.3142e-09
