label,g_nominal,g_constraint,g_relaxed,energy_h,energy_stage1_h,h_position_ang,h_nominal_ang,max_pd_displacement_ang,triangle_pd_displacement_ang,constraint_force_h_per_bohr,max_force_mh_per_bohr,n_iterations,finished,energy_rel_mev
g_0.0,0.0,9.383031070264725e-05,2.2850614110891954e-06,-960.8412762,-960.8405714,0.00831 0.00466 1.94753,0.00000 0.00000 1.94500,0.01575716345031674,0.015536895930812334,-3.4e-05,1.49,337,True,0.0
g_0.1,0.1,0.09939957940046873,0.10000114253070547,-960.8410758,-960.8402871,0.10578 0.10191 2.04181,0.09725 0.09725 2.04225,0.02146901022404142,0.02135168028052854,-0.00056,11.34,355,True,5.453161804777252
g_0.2,0.2,0.20006568121749185,0.20000457012282202,-960.8404399,-960.8390602,0.19882 0.19670 2.14252,0.19450 0.19450 2.13950,0.03083596277076496,0.030733558180720072,-0.0011,2.41,348,True,22.75688231915147
g_0.3,0.3,0.2993714303072579,0.3000011425307055,-960.8390136,-960.8365195,0.29459 0.29386 2.23921,0.29175 0.29175 2.23675,0.051153905031776414,0.05094081738623222,-0.0019,2.57,392,True,61.56848252002451
g_0.4,0.4,0.40003753212428106,0.4000011425307055,-960.8370711,-960.8316426,0.39169 0.39029 2.33525,0.38900 0.38900 2.33400,0.06825925358513664,0.06818689859067761,-0.0021,12.86,368,True,114.42660030397285
g_0.5,0.5,0.49934328121404714,0.4999988574692946,-960.835205,-960.8272681,0.48836 0.48616 2.43219,0.48625 0.48625 2.43125,0.08439813090347446,0.08427981270467984,-0.0017,13.42,364,True,165.20576817840814
g_0.6,0.6,0.6000093830310702,0.6000022850614108,-960.8339712,-960.8250693,0.58423 0.58334 2.52806,0.58350 0.58350 2.52850,0.09507492782011469,0.09487634070224159,-0.00053,14.95,361,True,198.77917652932612
g_0.7,0.7,0.6999953084844648,0.6999988574692944,-960.8339921,-960.824435,0.68046 0.67985 2.62422,0.68075 0.68075 2.62575,0.09819712062988423,0.09807689837913819,0.00092,16.21,360,True,198.2104585541992
g_0.8,0.8,0.7999812339378594,0.8000011425307056,-960.8352027,-960.8265732,0.77600 0.77554 2.71970,0.77800 0.77800 2.72300,0.09403341214695966,0.09386699255642605,0.0021,13.17,368,True,165.26835436692525
g_0.9,0.9,0.9006473357548825,0.8999988574692943,-960.8370149,-960.8300874,0.87003 0.86927 2.81384,0.87525 0.87525 2.82025,0.08324905164624993,0.0830572855676253,0.0022,11.07,375,True,115.95588021146733
g_1.0,1.0,0.9999530848446486,1.0000022850614112,-960.8381737,-960.8323489,0.96011 0.95955 2.90466,0.97250 0.97250 2.91750,0.06911725399637918,0.06899793403962662,0.00064,4.2,379,True,84.42332583003292
